Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
"Luis Gil","NYY",9,3,16,16,0,0,7,85.2,99,3.1517511014131707,77.72853689829915,3.6409150989554253,85.73241742817856,-0.4891639975422546,79.57446768144615,63.29965266157125,70.80527545177924,89.50594417164956,123.91806156622738,155.7259168804445,0.1529745,1.447802148759365,1.3965445384383202,0.07761003675564981,1.69736393516299,"Luis Gil",21052,661563
"Kutter Crawford","BOS",3,7,17,17,0,0,8,94,97,3.5425532993119817,82.544260595816,4.025052865547743,96.99421920872818,-0.4824995662357616,116.95035400461411,107.13482135086687,92.47271929459073,91.76739659556739,109.61477565047863,93.72761872586375,0.1713555,0.28100593388080597,0.8814347395673394,-0.5946528746184278,1.6521565428506453,"Kutter Crawford",20531,676710
"Michael King","SDP",5,5,17,16,0,0,6,93.2,109,3.7473311007511305,94.49911484236556,3.9319961555931617,97.06654992101892,-0.18466505484203122,104.4105914139994,111.4321034972954,93.86917858375843,100.25368048637218,121.75275505269776,116.60959209287498,0.17705736,0.7138100452721119,0.38791241543367505,0.39057031456494473,1.5061339980227093,"Michael King",19853,650633
"Chris Bassitt","TOR",6,6,16,16,0,0,8,91.1,83,3.4489052295303773,86.25980497187815,3.874718961253826,94.05490873431866,-0.4258137317234487,85.77507553722614,67.85405896226244,108.21922442102003,109.31335307269867,93.31676261631192,108.79240641708404,0.1221374,0.7698319368064404,0.21632589492946863,0.5262952328996241,1.473940050603568,"Chris Bassitt",12304,605135
"Zack Littell","TBR",2,5,16,16,0,0,6,86.1,82,4.16988427736286,106.93582384964053,3.741556592053789,93.3444088801587,0.42832768530907117,185.37233948518704,107.67574510286839,120.75793909189744,108.24300976549361,97.39687769172917,52.541216738427075,0.17741936,-0.09190582577139139,-0.5616519302129745,0.4660317945861685,1.4693790528006088,"Zack Littell",15823,641793
"Grayson Rodriguez","BAL",9,3,14,14,0,0,7,82.1,89,3.716599333782402,93.80704103542847,3.6476732386725823,89.55732502223763,0.06892609510981984,128.76595679361284,94.08913070038601,102.51808546887166,98.9502705522064,113.654864927789,88.26468961821261,0.1849711,1.1040482856333256,0.1703408807516098,0.9985153934115802,1.465614469494262,"Grayson Rodriguez",24492,680570
"Luis Castillo","SEA",6,9,17,17,0,0,10,99.2,100,3.7926422009522653,99.51479361801647,3.956597717990185,99.49679661301663,-0.16395551703791966,120.56737526286166,108.81612260482865,101.07105986057898,96.96788868034567,107.24496358652391,88.95023972789618,0.16990291,-0.00862588919699192,-0.055876536294817924,0.04656462896849343,1.4261972187312153,"Luis Castillo",15689,622491
"Jared Jones","PIT",5,6,15,15,0,0,9,86,93,3.662790778909523,86.63754596569876,3.836779722231282,94.01466941173233,-0.17398894332175896,135.40808445442892,112.03012739975804,88.75529981334938,85.72848869330349,118.67862443970726,87.64516122053149,0.19373219,1.207252036780119,0.486652753315866,0.771085826799575,1.4170986724210934,"Jared Jones",27863,683003
"Brandon Pfaadt","ARI",3,6,16,16,0,0,8,97,86,4.4536083349957085,106.46215467942619,3.9471849013494884,100.18918866631934,0.5064234336462201,130.43341467291242,107.60281968893123,97.72525032640064,91.2080413494589,95.82284721413743,73.46495858805493,0.15422886,-0.4870578199625015,0.3508027456700802,-0.8738222602205665,1.4161412581480568,"Brandon Pfaadt",27782,694297
"Ryan Feltner","COL",1,7,16,16,0,0,5,86.2,75,5.81538478603025,124.24957802530737,4.177835193160019,97.77874734457727,1.637549592870231,118.69572619688087,111.16835798555118,118.45707338468996,112.82841013808734,87.94164249183456,74.08998824971813,0.13612565,-1.9877758552320302,-0.6120258569717407,-1.504528725540828,1.3540657291978548,"Ryan Feltner",21446,663372
"Pablo López","MIN",7,6,16,16,0,0,7,88,101,5.113636474471449,126.99626799285018,3.9921708457726095,97.17429691569585,1.1214656286988398,192.27323528209547,140.84857508730443,102.76121136326427,93.48610333052598,121.59883991597266,63.24273240066732,0.22343324,-0.3333536619320512,-0.033730700612068176,-0.37852327446644096,1.3021095394465982,"Pablo Lopez",17085,641154
"Zach Eflin","TBR",3,5,14,14,0,0,4,81.1,63,4.204918197136167,107.8342615098842,3.801038214693273,94.856470916134,0.403879982442894,379.78723211599294,114.29515718374313,111.26903892743061,91.32861884979742,82.60089848973804,21.74925735216937,0.16913947,0.11421208083629608,0.11770421988330781,0.018783631836634035,1.2821300463078966,"Zach Eflin",13774,621107
"Luis Severino","NYM",5,2,15,15,0,0,7,90.1,71,3.287822924509406,83.08887865291342,3.94889676984256,97.81425553643058,-0.6610738453331537,83.36779390874341,71.10399172190984,88.43925720273805,89.34809827079937,85.26016901777498,102.26991911008855,0.10723861,0.5918822577223182,0.8162172511219978,-0.266079509219991,1.254916905014079,"Luis Severino",15890,622663
"Brady Singer","KCR",4,4,16,16,0,0,6,89.1,85,3.123134406153625,73.75313823939311,3.9799591791871456,96.46066958703128,-0.8568247730335208,118.2487718958999,95.38812112330233,97.20799721316698,93.87895930681925,99.8861335381785,84.47118603291621,0.15691489,0.9343481096439064,1.131883654743433,-0.06923806266884092,1.2216054738660194,"Brady Singer",25377,663903
"Ronel Blanco","HOU",8,2,14,14,1,1,9,84.2,79,2.3385827474093324,58.66824182127428,4.083437856071919,100.13041596692267,-1.7448551086625868,84.04255273750412,91.49612237697433,67.9820094349495,77.35598126379057,104.82309549490336,124.72622358779009,0.13513514,1.597186304628849,1.7172309551388025,0.13259905848789844,1.2181082935320036,"Ronel Blanco",19407,669854
"Kevin Gausman","TOR",6,6,16,16,1,1,7,86.2,84,4.25769247948066,106.48820378292717,3.912450578113986,94.98755039872016,0.3452419013666739,151.91489284639718,116.2000766168701,109.46670827601739,101.37552245756342,100.85689401675432,66.39039710647985,0.17391304,-0.40923572704195976,-0.9220072329044342,0.46705582511569677,1.1982786006390036,"Kevin Gausman",14107,592332
"Cal Quantrill","COL",6,5,16,16,0,0,10,90,64,3.500000037087335,74.77983722441157,4.351766800115138,101.78276571723192,-0.8517667630278032,68.51768978708887,80.28825703992068,100.55422394283914,100.8888939463517,76.24103792179537,111.27205816259796,0.07978723,1.8149496875703335,0.6864870004355907,1.2233786632312054,1.184751084464132,"Cal Quantrill",19312,615698
"Lance Lynn","STL",3,3,16,16,0,0,4,81.2,78,3.8571429772557777,94.91050627723867,4.0678665887132786,101.5893180243818,-0.21072361145750085,94.64005902728901,98.31215349717922,101.44240708728213,105.4819540795339,97.31881801009365,102.83047842132322,0.13370474,-1.0028641372919083,-0.45453751739114523,-0.513789615294994,1.1386422828532026,"Lance Lynn",2520,458681
"Miles Mikolas","STL",6,7,17,17,0,0,9,94.2,68,5.323943858628147,131.0032347759883,4.188073554357777,104.54081960198845,1.1358703042703704,137.5111968489464,110.25500376898498,109.45693810761585,96.7352908932663,77.30531658651083,56.2174749304211,0.12690355,-0.4985218094661832,-0.3165066074579954,-0.21690625584126133,1.1202455370452877,"Miles Mikolas",9803,571945
"Bailey Ober","MIN",7,4,15,15,1,0,6,82,83,4.500000104671574,111.7567160109468,4.210574399822175,102.58478689030898,0.2894257048493989,150.10638221727342,132.2602475478344,97.60880534912198,88.63801996899592,111.13178110267756,74.03535130290481,0.19090909,0.1780021246522665,0.08810399286448956,0.14582470281246926,1.1046722638622273,"Bailey Ober",21224,641927
"Framber Valdez","HOU",6,5,13,13,1,0,8,80.2,63,3.6818182543647833,92.36611530139139,3.8929972884873374,95.37966755589147,-0.21117903412255412,87.64320740860066,67.22318343193862,101.23615960196098,96.0439753418512,85.12691972867063,97.1289476488973,0.11314985,0.6701223254203796,0.9212279580533504,-0.19440435811411472,1.0333646185013539,"Framber Valdez",17295,664285
"Charlie Morton","ATL",4,4,14,14,0,0,6,79.1,80,4.197479159791095,100.38566699894736,3.968106688736574,99.34347753833822,0.2293724710545213,83.2000518661222,70.84258182911849,96.39811729727667,100.7584652497217,107.93159024728259,129.72539775510015,0.13554217,0.4504222050309181,0.3830641843378544,0.09205351481119523,0.9908077165203921,"Charlie Morton",4676,450203
"Kyle Gibson","STL",5,3,15,15,0,0,8,87.2,77,3.6958175172973857,90.94086315787654,4.20060498688423,104.84851011454059,-0.504787469586844,77.85560408197406,91.58356285714252,91.42340391816785,96.49215621565588,94.75148251671506,121.70156599910706,0.11263736,0.15746640413999557,0.837604814209044,-0.6762220424714093,0.9621897795732642,"Kyle Gibson",10123,502043
"Javier Assad","CHC",4,3,16,16,0,0,3,83,79,3.0361447527405585,75.39030548475553,4.173989067307441,104.54322535552456,-1.1378443145668826,87.13944825433555,96.73284433944234,94.01902106410954,99.11235643539504,99.95867739093782,114.71117456720317,0.1299435,0.7853980995714664,0.5296023858827539,0.2691988931883992,0.9513223792522845,"Javier Assad",21741,665871
"Tyler Anderson","LAA",7,7,16,16,0,0,9,99.1,65,2.6275168373844537,63.51809162659726,4.784727300974085,113.60650683018241,-2.157210463589631,51.11008298754057,85.78528992261481,87.92811984207879,97.29328490787645,70.22054095650506,137.39078697963407,0.04645477,1.8216602019965649,1.4002935513854027,0.5222365982768808,0.9048021121997273,"Tyler Anderson",12880,542881
"Hunter Brown","HOU",5,5,16,15,0,0,8,80.1,89,4.369294678210902,109.61289997270978,4.207184047724713,103.21740016793632,0.1621106304861888,100.59840374501003,115.71791587116415,106.5381490902081,109.36778096371948,114.31564915721981,113.63565563022406,0.16569768,0.19372634147293866,0.17539401119574904,0.04625916620653178,0.8868194705554593,"Hunter Brown",25880,686613
"Bailey Falter","PIT",3,6,15,15,0,0,7,83.1,54,3.996000060974122,94.51908663607904,4.541989030731202,110.98690428275555,-0.5459889697570794,89.34551025066303,115.61509067653046,95.52573614526514,88.47179971929233,72.41757278753262,81.05340505664599,0.09580838,0.5702020190656185,1.1462628114968538,-0.5151020683038462,0.7963654723783579,"Bailey Falter",20070,663559
"Bryce Miller","SEA",6,6,16,16,0,0,8,92.1,85,3.8989170212028452,102.30332895661837,4.181209240334579,105.24620415844373,-0.28229221913173363,113.8691877542866,117.45855807955559,85.90499496075662,83.04341888066686,102.61526315714546,90.11680048121885,0.15846995,0.3036641329526901,1.2467819582670927,-0.8920770127990327,0.7882662021745263,"Bryce Miller",29837,682243
"Carlos Rodón","NYY",9,5,17,17,0,0,10,93.2,92,4.419928900625848,109.00435839813407,4.551213232515956,107.58468306668769,-0.13128433189010824,127.98690604437328,132.32748629214584,106.09032164552457,100.62118913899441,101.37189759723111,79.20490251996861,0.16458853,0.2674701940268278,-0.6679442005115561,0.9838138476093367,0.7684644113004064,"Carlos Rodon",16137,607074
"Andrew Abbott","CIN",7,6,16,16,0,0,5,89.2,72,3.4126394656978922,77.9246401837229,4.991832908251807,115.04316260172254,-1.5791934425539145,81.9000510813078,143.26529239381736,91.26133180807925,93.4744119865038,86.4610164056428,105.56894860002197,0.10723861,0.9438919145613909,0.13232450187206268,0.929315443379459,0.7057973438567051,"Andrew Abbott",29911,671096
"Patrick Corbin","WSN",1,7,16,16,0,0,4,89,60,5.460674332843984,133.11019775016794,4.724550857454852,115.00416308532002,0.7361234753891326,68.2500425677565,108.253832049611,119.94501534097837,118.59023225918963,69.26537622116737,101.4876746743931,0.07216495,-0.7589357141405344,-1.1317865079181502,0.2525931343894243,0.6481025525281746,"Patrick Corbin",9323,571578
